"_id","container_cpu_system_seconds_total","container_cpu_usage_seconds_total","container_cpu_user_seconds_total","container_file_descriptors","container_fs_reads_bytes_total","container_fs_usage_bytes","container_fs_writes_bytes_total","container_last_seen","container_memory_cache","container_memory_failures_total","container_memory_max_usage_bytes","container_memory_rss","container_memory_usage_bytes","container_memory_working_set_bytes","container_network_receive_bytes_total","container_network_receive_packets_total","container_network_transmit_bytes_total","container_network_transmit_packets_total","container_processes","container_sockets","container_threads","net_in","net_out","timestamp"
"64d23ba804159b3ff41289b8","0.0140600126400267","0.0626492580255667","0.0546994639086477","37","0","9408512","0","5074497162","5947392","227.620332883491","902197248","311484416","339148800","333201408","32655.2796853906","185.126489405412","95705.2297939778","193.754769032107","4","11","44","32655.2796853906","193.754769032107","8/8/2023 12:51:09"
"64d23ba804159b3ff41289b9","0.111303382455042","0.685654643023877","0.570985881919531","38","0","9863168","0","5074497342","5947392","73176.6439491619","902197248","640421888","670892032","664944640","35703.3853577622","204.0262384076","107942.622332806","218.050214883511","4","12","44","35703.3853577622","218.050214883511","8/8/2023 12:52:09"
"64d23ba804159b3ff41289ba","0.0835370358680803","0.484580228602877","0.401203632204161","38","0","5279744","0","5074497522","5947392","74718.5337572471","902197248","508149760","537862144","531914752","51837.3711905284","295.384784038588","143574.545055909","313.746985310239","4","12","44","51837.3711905284","313.746985310239","8/8/2023 12:53:09"
"64d23ba804159b3ff41289bb","0.012413221346834","0.0783674630755377","0.057316296470205","35","0","5738496","0","5074497702","5947392","735.052754982415","902197248","230608896","257871872","251924480","44615.6828612122","263.411932267764","131574.537110302","278.050324418421","4","9","44","44615.6828612122","278.050324418421","8/8/2023 12:54:09"
"64d23ba804159b3ff41289bc","0.0371874882434003","0.210544175706809","0.176598094241967","34","0","6197248","0","5074497882","5947392","32902.1179164282","902197248","315387904","343961600","338014208","51238.9987427134","286.318436392731","139315.00742942","303.806149274203","4","8","44","51238.9987427134","303.806149274203","8/8/2023 12:55:09"
"64d23ba804159b3ff41289bd","0.0122267874218652","0.0712327899207848","0.0460604317893292","35","0","6578176","0","5074498062","5947392","188.339301700985","902197248","384147456","412532736","406585344","27965.3703557624","154.768478346612","74327.5222844522","166.048749704189","4","9","44","27965.3703557624","166.048749704189","8/8/2023 12:56:09"
"64d23ba804159b3ff41289be","0.019531097192729","0.0702377538896274","0.05718850643386","34","0","7036928","0","5074498242","5947392","225.335530963033","902197248","384217088","310484992","304537600","41843.4296365331","246.477715037553","132278.548325201","261.224713557371","4","11","44","41843.4296365331","261.224713557371","8/8/2023 12:57:09"
"64d23d1104159b3ff4128a4b","0.059721799711149","0.369123525067137","0.310196507687813","37","0","7442432","0","5074498422","5947392","75095.3783280245","902197248","485445632","514768896","508821504","51510.2782577608","291.127927069058","149728.475242805","307.513555383424","4","11","44","51510.2782577608","307.513555383424","8/8/2023 12:58:09"
"64d23d1104159b3ff4128a4c","0.0555837052912809","0.341211063931511","0.281884813020603","34","0","7897088","0","5074498602","5947392","124.343083787804","902197248","411287552","440299520","434352128","24607.7890867967","134.718688153803","61223.4238054849","143.200452360758","4","8","44","24607.7890867967","143.200452360758","8/8/2023 12:59:09"
"64d23d1104159b3ff4128a4d","0.0166613601868816","0.132947149456074","0.109871551626521","34","0","8245248","0","5074498782","5947392","9988.64926220204","902197248","453001216","483131392","477184000","10114.8369926813","55.6220891550233","35629.2082501663","58.6161011310712","4","8","44","10114.8369926813","58.6161011310712","8/8/2023 13:00:09"
"64d23d1104159b3ff4128a4e","0.040257288187558","0.278760368086668","0.234721959477084","32","0","8572928","0","5074498962","5947392","48925.78125","902197248","389246976","418459648","412512256","26389.4184938036","148.28937612541","63204.4274970872","158.404829996822","4","6","44","26389.4184938036","158.404829996822","8/8/2023 13:01:09"
"64d23d1104159b3ff4128a4f","0.0716832391934579","0.478446363462757","0.389971660323294","39","0","8974336","0","5074499142","5947392","99274.0695170717","902197248","423915520","453353472","447406080","45868.3388091995","253.866495712798","117511.980126613","272.377594358522","4","13","44","45868.3388091995","272.377594358522","8/8/2023 13:02:09"
"64d23d1104159b3ff4128a50","0.0906593131254112","0.597256624562985","0.519612582212183","35","0","9486336","0","5074499322","5947392","108473.362741771","902197248","424525824","453816320","447868928","42706.579453636","237.706810311658","110307.579838399","251.019622931897","4","9","44","42706.579453636","251.019622931897","8/8/2023 13:03:09"
"64d23e7b04159b3ff4128aed","0.0508322237282444","0.289395197806144","0.2357604154477","38","0","9961472","0","5074499502","5947392","213.696621662899","949760000","308801536","337465344","331517952","28347.9468703881","163.208611858668","81485.6324333709","172.497612639986","4","12","44","28347.9468703881","172.497612639986","8/8/2023 13:04:09"
"64d23e7b04159b3ff4128aee","0.141100822598242","0.850826368342594","0.705272034517453","37","0","5386240","0","5074499682","5947392","71445.6155601434","949760000","652955648","683941888","677994496","33527.4807404852","189.8355754858","103135.506496493","201.448775439807","4","11","44","33527.4807404852","201.448775439807","8/8/2023 13:05:09"
"64d23e7b04159b3ff4128aef","0.0430061876724393","0.299939454462117","0.262759623810282","37","0","5840896","0","5074499862","5947392","11107.3731915635","949760000","614408192","645783552","639836160","60171.7075038285","343.734047983665","168643.695763144","365.875446656457","4","11","44","60171.7075038285","365.875446656457","8/8/2023 13:06:09"
"64d23e7b04159b3ff4128af0","0.0231126866487196","0.0821001446773873","0.0662085867297068","37","0","6291456","0","5074500042","5947392","284.092326887087","949760000","226709504","253726720","247779328","48937.3044598491","280.780320225753","140909.882829274","297.834488681676","4","11","44","48937.3044598491","297.834488681676","8/8/2023 13:07:09"
"64d23e7b04159b3ff4128af1","0.0522730718967855","0.31113438345537","0.252975915566153","39","0","6729728","0","5074500222","5947392","1448.69831546707","949760000","454430720","489005056","483057664","51833.8068181818","292.436079545455","153146.306818182","309.718276515152","4","13","44","51833.8068181818","309.718276515152","8/8/2023 13:08:09"
"64d23e7b04159b3ff4128af2","0.0602191857158346","0.376482849403875","0.31566457472322","39","0","7241728","0","5074500402","5947392","75785.3580857394","949760000","657989632","686440448","680493056","40701.6426082628","239.621702339472","113169.337979094","248.481831757093","4","13","44","40701.6426082628","248.481831757093","8/8/2023 13:09:09"
"64d23fe404159b3ff4128ba1","0.088305204724115","0.506614874873575","0.419929399053676","34","0","7671808","0","5074500582","5947392","373.04347826087","949760000","495505408","524660736","518713344","46745.8913897821","273.490532332976","144555.019649875","287.156127188282","4","8","44","46745.8913897821","287.156127188282","8/8/2023 13:10:09"
"64d23fe404159b3ff4128ba2","0.0509132477876477","0.28242695301289","0.236720531213167","36","0","8179712","0","5074500762","5947392","49272.7794353913","949760000","264003584","291266560","285319168","57433.7792942444","329.621980784771","157642.004130376","345.155787016252","4","10","44","57433.7792942444","345.155787016252","8/8/2023 13:11:09"
"64d23fe404159b3ff4128ba3","0.0675963993756176","0.367277184587622","0.299315347319137","37","0","8581120","0","5074500942","5947392","638.377535101404","949760000","460599296","489730048","483782656","37700.9993552547","218.944766817107","115265.527616591","233.558994197292","4","11","44","37700.9993552547","233.558994197292","8/8/2023 13:12:09"
"64d23fe404159b3ff4128ba4","0.0140940604429089","0.0746717118409354","0.0528829789867931","34","0","8990720","0","5074501122","5947392","275.806149816004","949760000","396718080","425254912","419307520","50765.5650800812","287.108053237086","141256.034288292","306.508008120911","4","8","44","50765.5650800812","306.508008120911","8/8/2023 13:13:09"
"64d23fe404159b3ff4128ba5","0.125415535007017","0.718209119658506","0.591952955942761","37","0","9433088","0","5074501302","5947392","90082.7481687295","949760000","509349888","539013120","533065728","35103.682487725","187.561374795417","81947.6268412439","198.281505728314","4","11","44","35103.682487725","198.281505728314","8/8/2023 13:14:09"
"64d23fe404159b3ff4128ba6","0.0191873043125489","0.0807686053259754","0.0726227534766108","35","0","9936896","0","5074501482","5947392","470.693113438823","949760000","627863552","657166336","651218944","46395.3056130848","264.776166958738","133163.613191015","280.972863894642","4","9","44","46395.3056130848","280.972863894642","8/8/2023 13:15:09"
"64d2414d04159b3ff4128c55","0.0387297347113703","0.18460159001567","0.138391995979611","36","0","5365760","0","5074501662","5947392","23170.0687249974","949760000","258412544","285929472","279982080","23930.3235421971","129.913680680619","62523.567037198","139.663416754642","4","10","44","23930.3235421971","139.663416754642","8/8/2023 13:16:09"
"64d2414d04159b3ff4128c56","0.0410352381895437","0.248574348814489","0.20473402229707","34","0","5783552","0","5074501842","5947392","322.833105067501","960622592","567283712","597557248","591609856","34787.6020408163","202.5","107119.693877551","214.642857142857","4","8","44","34787.6020408163","214.642857142857","8/8/2023 13:17:09"
"64d2414d04159b3ff4128c57","0.0333627406712212","0.24645367421485","0.209518545451593","33","0","6107136","0","5074502022","5947392","331.925165962583","960622592","540667904","571019264","565071872","49432.4046996049","284.285054640603","138309.476168488","301.677697398799","4","7","44","49432.4046996049","301.677697398799","8/8/2023 13:18:09"
"64d2414d04159b3ff4128c58","0.0500050355514566","0.368623604027909","0.315898258053022","35","0","6508544","0","5074502202","5947392","36507.2463768116","960622592","601042944","632659968","626712576","48323.9399937494","277.112199187415","138638.81654339","292.999270757371","4","9","44","48323.9399937494","292.999270757371","8/8/2023 13:19:09"
"64d2414d04159b3ff4128c59","0.0165186578827806","0.0727320476056105","0.0598520277020823","36","0","6508544","0","5074502382","5947392","298.339174158159","960622592","450469888","479068160","473120768","46034.3089203193","266.209214395743","136594.104467161","277.20207253886","4","10","44","46034.3089203193","277.20207253886","8/8/2023 13:20:09"
"64d2414d04159b3ff4128c5a","0.021556015282046","0.0859025569889217","0.0736933166042383","33","0","7401472","0","5074502562","5947392","305.645876441029","960622592","176275456","203653120","197705728","34597.6771499413","188.11170559833","90335.4430379747","205.859324024533","4","7","44","34597.6771499413","205.859324024533","8/8/2023 13:21:09"
